,tweet,sentiment
0,warung milik usaha pabrik puluh kenal putih bandung kualitas padu ahli masak padu kretivitas warung saji menu utama bahan tambah menu sepe i ayam selera indonesia harga jangkau lewat bletoka nya kalah asli tegal,positive
1,lokasi strategis jalan sumatra bandung nya nyaman sofa lantai 2 paella nya enak pas makan minum bir dingin appetiser nya enak enak,positive
2,betapa bahagia nya unboxing paket barang nya bagus tetap beli,positive
3,makan agam harga makan food stall 10 kasir suasana ramai perhati parkir duduk,positive
4,unik bagus foto makan enak pegawai ramah bersih luas wifi kencang harga standar sesuai nya menu masakan makan barat indonesia menu favorit lychee mojito spagheti,positive
5,keluarga nikmat alam kuliner senang rm sari sunda jalan setiabudhi bandung hubung rm sari sunda jalan setiabudhi tulis maaf rekan rekan baca bingung suka restoran layan restoran bilang cepat,positive
6,syukur,positive
7,cerita alam pesan steak grilled beef 200 saji steak 200 2 potong 100 100 buruk kualitas daging nya enggan mes menu beef khusus nya sirloin lemak nya ukur steak menu menu tempel lidah saran beli menu label cheese lanjut,positive
8,habis puas main trans studio bandung teman sepakat makan ayam kakek ayam nya enak gurih,positive
9,bakso cuanki batagor ramai unjung buka jam 10 pagi jalan riau jalan a yani sisi kiri jalan jalan anggrek harga porsi rupiah 14 000 datang ramai unjung,positive
10,sgwr 2018 dampak positif hobi anak anak,positive
11,lembang pandang indah udara sejuk tata resto bagus lengkap makan nikmat pilih menu agam minum lengkap lingkung cocok makan dua pasang bawa keluarga teman lapang parkir luas restoran konsep buka udara lembang sejuk nya,positive
12,buka puasa minggu lepas supir cadang makan makan nya sedap harga patut nya luas cantik rekomendasi too others to dine in here to authentic sunda makan indonesia,positive
13,haha suka banget tonton kakak uji nasional indonesia keluarga tomat,positive
14,teman teman kunjung bandung mampir kopi anjis makan makan berat cilok rakyat teman teh sereh lekker,positive
15,restoran keluarga makan malam bandung 8 orang nya 400 an murah riah makan double double makan nya enak suasana kafe tarik layan bagus tunjuk toilet restoran men to the pergi momen are ribut haha timpal,positive
16,lokasi pandang alam natural indah suasana sejuk tenang nyamuk harga makan relatif mahal,positive
